name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Andover MA,2020-09-26T16:00:00,75.8,75.8,59.7,57.28,0,,,0,0,16.1,5.6,150,1017.9,0,9.9,415,1.5,4,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T17:00:00,75.5,75.5,59.9,58.37,0,,,0,0,,6.3,125,1017.8,6.6,9.9,159,0.6,2,,Clear,clear-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T18:00:00,72.1,72.1,58.9,63.12,0,,,0,0,,6,119,1017.8,86.9,9.9,35,0.1,0,,Partially cloudy,partly-cloudy-day,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T19:00:00,69.2,69.2,58.9,69.71,0,,,0,0,,1.3,46,1018,0,9.9,9,0,0,,Clear,clear-night,"KLWM,KBED,F5795,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T20:00:00,69.5,69.5,59.2,69.82,0,,,0,0,,5.2,199,1018.5,5.9,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T21:00:00,69.3,69.3,61.1,75.2,0,,,0,0,,5.2,189,1018.8,4.9,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T22:00:00,67.1,67.1,61.1,81.11,0,,,0,0,,3.9,214,1019,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-26T23:00:00,66.8,66.8,61.1,81.92,0,,,0,0,,3.8,187,1018.9,41.8,9.9,,,0,,Partially cloudy,partly-cloudy-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T00:00:00,65.8,65.8,60.9,84.24,0,,,0,0,,4.7,196,1018.3,0,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T01:00:00,65.8,65.8,61.2,85.25,0,,,0,0,,4.9,187,1017.8,10.8,9.9,,,0,,Clear,clear-night,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T02:00:00,64.4,64.4,62.3,92.77,0,,,0,0,,5.1,206,1018,90.5,9.9,,,0,,Overcast,cloudy,"KLWM,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T03:00:00,65.3,65.3,63.1,92.61,0,,,0,0,,5.5,220,1017.8,100,9.9,,,0,,Overcast,cloudy,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T04:00:00,65.3,65.3,64.1,95.86,0,,,0,0,,4.3,231,1017.7,100,9.9,,,0,,Overcast,cloudy,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
Andover MA,2020-09-27T05:00:00,66.1,66.1,64.1,93.19,0,,,0,0,,3.3,193,1017.5,100,9.9,,,0,,Overcast,cloudy,"KLWM,KBED,KBVY,72505914702,74490494723,72508854733"
